,SA2,cbd_dis
269,210021234,66286.7
270,210021235,67615.1
271,210031236,11297.7
272,210031237,14147.7
273,210031439,16953.9
274,210031440,13710.1
275,210031535,14407.0
276,210031536,13715.3
277,210031537,12008.1
278,210031538,11208.1
279,210041240,350.0
280,210041539,350.0
281,210041540,350.0
282,210041541,47641.9
283,210051242,16473.4
284,210051243,18195.5
285,210051245,20515.5
286,210051246,27553.7
287,210051247,21228.7
288,210051248,24464.5
289,210051250,19577.2
290,210051441,26713.1
291,210051442,33449.0
292,210051443,26930.5
293,210051445,42303.1
294,210051542,41874.1
295,210051543,38198.7
296,210051544,22458.3
297,210051545,24220.6
298,211011251,34609.2
299,211011254,36011.4
300,211011255,38114.0
301,211011256,34841.4
302,211011257,37637.3
303,211011258,33954.9
304,211011259,31991.9
305,211011260,34279.6
306,211011446,37414.2
307,211011447,37799.2
308,211011448,40445.0
309,211011449,40040.7
310,211021261,27202.5
311,211021262,34052.6
312,211031263,34889.2
313,211031265,34194.5
314,211031266,28584.4
315,211031267,29839.0
316,211031268,29738.3
317,211031450,33636.9
318,211031451,33169.3
319,211031452,32477.0
320,211041269,26505.2
321,211041270,28366.1
322,211041271,24097.9
323,211041272,31704.5
324,211041273,33942.7
325,211051274,46588.6
326,211051275,40543.1
327,211051276,69068.4
328,211051277,37735.1
329,211051278,49483.2
330,211051279,61483.6
331,211051280,39656.1
332,211051281,37763.2
333,211051282,50776.7
334,211051283,44853.1
335,211051284,43641.9
336,211051285,53787.2
337,211051286,73915.9
338,212011289,69993.8
339,212011546,54718.1
340,212011547,350.0
341,212011548,81937.8
342,212011549,63456.4
343,212011550,58752.8
344,212011551,63746.5
345,212011552,59366.5
346,212021293,46336.4
347,212021295,35517.5
348,212021297,39550.0
349,212021299,41402.9
350,212021453,36893.9
351,212021454,36222.5
352,212021455,43153.1
353,212021456,42430.4
354,212021553,50118.7
355,212021554,47630.8
356,212031300,52923.4
357,212031303,58748.6
358,212031304,50856.0
359,212031306,44710.7
360,212031308,66574.4
361,212031457,47218.9
362,212031458,46820.8
363,212031555,53098.1
364,212031556,56925.9
365,212031557,53351.8
366,212031558,55788.2
367,212031559,51579.9
368,212031560,46570.2
369,212031561,43782.2
370,212031562,41032.3
371,212041309,24779.6
372,212041310,26563.5
