,id,Annotations,Name,Parent,Description
575,107021135,,Illawarra Catchment Reserve,,
576,10703,,Kiama - Shellharbour,,
577,107031136,,Albion Park - Macquarie Pass,,
578,107031137,,Albion Park Rail,,
579,107031138,,Kiama,,
580,107031139,,Kiama Downs - Minnamurra,,
581,107031140,,Kiama Hinterland - Gerringong,,
582,107031141,,Shellharbour - Flinders,,
583,107031142,,Shellharbour - Oak Flats,,
584,107031143,,Warilla,,
585,10704,,Wollongong,,
586,107041144,,Balgownie - Fairy Meadow,,
587,107041145,,Corrimal - Tarrawanna - Bellambi,,
588,107041146,,Figtree - Keiraville,,
589,107041147,,Helensburgh,,
590,107041148,,Thirroul - Austinmer - Coalcliff,,
591,107041150,,Woonona - Bulli - Russell Vale,,
592,107041548,,Wollongong - East,,
593,107041549,,Wollongong - West,,
594,108,,Mid North Coast,,
595,10801,,Great Lakes,,
596,108011151,,Bulahdelah - Stroud,,
597,108011152,,Forster,,
598,108011153,,Forster-Tuncurry Surrounds,,
599,108011154,,Tuncurry,,
600,10802,,Kempsey - Nambucca,,
601,108021155,,Kempsey,,
602,108021156,,Kempsey Surrounds,,
603,108021157,,Macksville - Scotts Head,,
604,108021158,,Nambucca Heads,,
605,108021159,,Nambucca Heads Surrounds,,
606,108021160,,South West Rocks,,
607,10803,,Lord Howe Island,,
608,108031161,,Lord Howe Island,,
609,10804,,Port Macquarie,,
610,108041162,,Laurieton - Bonny Hills,,
611,108041164,,Port Macquarie - West,,
612,108041165,,Port Macquarie Surrounds,,
613,108041166,,Wauchope,,
614,108041619,,Port Macquarie - East,,
615,108041620,,Port Macquarie - South,,
616,10805,,Taree - Gloucester,,
617,108051167,,Gloucester,,
618,108051168,,Old Bar - Manning Point - Red Head,,
619,108051169,,Taree,,
620,108051170,,Taree Surrounds,,
621,108051171,,Wingham,,
622,109,,Murray,,
623,10901,,Albury,,
624,109011172,,Albury - East,,
625,109011173,,Albury - North,,
626,109011174,,Albury - South,,
627,109011175,,Albury Surrounds,,
628,109011176,,Lavington,,
629,10902,,Lower Murray,,
630,109021177,,Hay,,
631,109021178,,Wentworth - Buronga,,
632,109021179,,Wentworth-Balranald Region,,
633,10903,,Upper Murray exc. Albury,,
634,109031180,,Corowa,,
635,109031181,,Corowa Surrounds,,
636,109031182,,Deniliquin,,
637,109031183,,Deniliquin Surrounds,,
638,109031184,,Moama,,
639,109031185,,Tocumwal - Finley - Jerilderie,,
640,110,,New England and North West,,
641,11001,,Armidale,,
642,110011186,,Armidale,,
643,110011187,,Armidale Surrounds - North,,
644,110011188,,Armidale Surrounds - South,,
645,110011189,,Walcha,,
646,11002,,Inverell - Tenterfield,,
647,110021190,,Glen Innes,,
648,110021191,,Inverell,,
649,110021192,,Inverell Surrounds - East,,
650,110021193,,Inverell Surrounds - West,,
651,110021194,,Tenterfield,,
652,11003,,Moree - Narrabri,,
653,110031195,,Moree,,
654,110031196,,Moree Surrounds,,
655,110031197,,Narrabri,,
656,110031198,,Narrabri Surrounds,,
657,11004,,Tamworth - Gunnedah,,
658,110041199,,Gunnedah,,
659,110041200,,Gunnedah Surrounds,,
660,110041201,,Quirindi,,
661,110041202,,Tamworth - East,,
662,110041203,,Tamworth - North,,
663,110041204,,Tamworth - West,,
664,110041205,,Tamworth Surrounds,,
665,111,,Newcastle and Lake Macquarie,,
666,11101,,Lake Macquarie - East,,
667,111011206,,Belmont - Bennetts Green,,
668,111011207,,Belmont South - Blacksmiths,,
669,111011208,,Charlestown - Dudley,,
670,111011209,,Glendale - Cardiff - Hillsborough,,
671,111011210,,Mount Hutton - Windale,,
672,111011211,,Redhead,,
673,111011212,,Swansea - Caves Beach,,
674,111011213,,Valentine - Eleebana,,
675,111011214,,Warners Bay - Boolaroo,,
676,11102,,Lake Macquarie - West,,
677,111021215,,Bolton Point - Teralba,,
678,111021216,,Bonnells Bay - Silverwater,,
679,111021217,,Edgeworth - Cameron Park,,
680,111021218,,Morisset - Cooranbong,,
681,111021219,,Toronto - Awaba,,
682,111021220,,Wangi Wangi - Rathmines,,
683,111021221,,West Wallsend - Barnsley - Killingworth,,
684,11103,,Newcastle,,
685,111031222,,Adamstown - Kotara,,
686,111031223,,Beresfield - Hexham,,
687,111031224,,Hamilton - Broadmeadow,,
688,111031225,,Lambton - New Lambton,,
689,111031226,,Maryland - Fletcher - Minmi,,
690,111031227,,Mayfield - Warabrook,,
691,111031228,,Merewether - The Junction,,
692,111031229,,Newcastle - Cooks Hill,,
693,111031230,,Newcastle Port - Kooragang,,
694,111031231,,Shortland - Jesmond,,
695,111031232,,Stockton - Fullerton Cove,,
696,111031233,,Wallsend - Elermore Vale,,
697,111031234,,Waratah - North Lambton,,
698,111031235,,Wickham - Carrington - Tighes Hill,,
699,112,,Richmond - Tweed,,
700,11201,,Richmond Valley - Coastal,,
701,112011236,,Ballina,,
702,112011237,,Ballina Surrounds,,
