,School Name,SA2,Latitude,Longitude,School Type
3771,Moyston Primary School,215011387,-37.301664,142.76785,Primary
3772,Buninyong Primary School,201011005,-37.65410344,143.8857746,Primary
3773,Buninyong Primary School-Scotsburn Primary School,201021012,-37.67026528,143.9295027,Primary
3774,Marysville Primary School,204011054,-37.511982,145.748939,Primary
3775,Langley Primary School,202021028,-37.17118,144.489657,Primary
3776,Wandong Primary School,209041224,-37.360304,145.027861,Primary
3777,Cowes Primary School,205031091,-38.456278,145.241315,Primary
3778,Bullarto Primary School,201021011,-37.405379,144.218221,Primary
3779,Lismore Primary School,217031474,-37.95459656,143.33929829,Primary
3780,Lower Plenty Primary School,209011202,-37.725816,145.116206,Primary
3781,Specimen Hill Primary School,202011022,-36.762065,144.248897,Primary
3782,Bolwarra Primary School,217011420,-38.281613,141.613797,Primary
3783,Navarre Primary School,215011391,-36.900737,143.111337,Primary
3784,Warracknabeal Primary School,215011394,-36.257875,142.391263,Primary
3785,Moyhu Primary School,204021067,-36.593173,146.383087,Primary
3786,Natte Yallock Primary School,201031013,-36.942129,143.468003,Primary
3787,Clifton Hill Primary School,206071145,-37.792308,144.989245,Primary
3788,Christmas Hills Primary School,209031212,-37.65393692,145.30416352,Primary
3789,Tallangatta Primary School,204031072,-36.21479715,147.17419691,Primary
3790,Kialla Central Primary School,216031417,-36.452632,145.430827,Primary
3791,Mount Eliza Primary School,214021381,-38.1953757,145.0919209,Primary
3792,San Remo Primary School,205031093,-38.523852,145.369453,Primary
3793,Dimboola Primary School,215011390,-36.453364,142.030403,Primary
3794,Whorouly Primary School,204021067,-36.505442,146.586653,Primary
3795,Merrijig Primary School,204011057,-37.102798,146.25688,Primary
3796,Lethbridge Primary School,203011035,-37.96927133,144.13442944,Primary
3797,Oxley Primary School,204021067,-36.441561,146.360637,Primary
3798,Northcote Primary School,206021111,-37.771758,144.99688,Primary
3799,North Melbourne Primary School,206041123,-37.798613,144.950779,Primary
3800,Dandenong Primary School,212041311,-37.987917,145.219821,Primary
3801,Malmsbury Primary School,202021030,-37.187026,144.387533,Primary
3802,Williamstown North Primary School,213021346,-37.855902,144.891757,Primary
3803,Kerang Primary School,215031402,-35.731693,143.921138,Primary
3804,Drouin West Primary School,205011076,-38.087115,145.871719,Primary
3805,Meredith Primary School,203011035,-37.84271017,144.07780907,Primary
3806,Edi Upper Primary School,204021067,-36.706471,146.448811,Primary
3807,Eaglehawk North Primary School,202011019,-36.706762,144.237274,Primary
3808,Mooroopna Primary School,216031415,-36.391363,145.360292,Primary
3809,Cairnlea Park Primary School,213011329,-37.757556,144.787257,Primary
3810,Ballan Primary School,201021009,-37.60168009,144.23110157,Primary
3811,Mount Pleasant Primary School,201011004,-37.577805,143.857784,Primary
3812,Tatura Primary School,216031419,-36.444966,145.229923,Primary
3813,Toolamba Primary School,216031419,-36.490521,145.344182,Primary
3814,Harston Primary School,216031419,-36.470108,145.141851,Primary
3815,Osbornes Flat Primary School,204031075,-36.31716,146.892571,Primary
3816,Frankston Primary School,214011371,-38.14755735,145.1240309,Primary
3817,Donald Primary School,215031400,-36.367208,142.984628,Primary
3818,Beveridge Primary School,209041224,-37.4716009000546,144.976966456466,Primary
3819,Epping Primary School,209041432,-37.64485061,145.02559439,Primary
3820,St Kilda Primary School,206051133,-37.8693,144.988,Primary
3821,Cape Clear Primary School,201031015,-37.79195536,143.60820534,Primary
3822,Warburton Primary School,211051286,-37.75580451,145.70170443,Primary
3823,Tallarook Primary School,204011060,-37.096764,145.10067,Primary
3824,Barnawartha Primary School,204031070,-36.101309,146.675889,Primary
3825,Fitzroy North Primary School,206071143,-37.78502,144.984149,Primary
3826,Ashby Primary School,203021040,-38.138701,144.347375,Primary
3827,Preston Primary School,209021207,-37.730548,145.01031,Primary
3828,Tooradin Primary School,212031308,-38.207631,145.378493,Primary
3829,Glenferrie Primary School,207011151,-37.824042,145.033857,Primary
3830,Elmore Primary School,202031032,-36.497198,144.608912,Primary
3831,Dookie Primary School,216031418,-36.331067,145.682794,Primary
3832,Brighton Primary School,208011169,-37.911753,145.002234,Primary
3833,Natimuk Primary School,215011389,-36.7414199,141.95038523,Primary
3834,Murtoa College,215011394,-36.623495,142.475745,Combined
3835,Big Hill Primary School,202011022,-36.830373,144.241609,Primary
3836,Clunes Primary School,201021010,-37.2907506,143.7921149,Primary
3837,Marnoo Primary School,215011391,-36.676853,142.870353,Primary
3838,Beechworth Primary School,204031068,-36.355433,146.693567,Primary
3839,Ardmona Primary School,216031419,-36.385458,145.313066,Primary
