rent,bedroom,baths,parking,url,Latitude,Longitude
700,3,1,3,https://www.domain.com.au/261-douglas-parade-newport-vic-3015-15462878,-37.8476936,144.8920981
355,3,2,2,https://www.domain.com.au/9-springwood-terrace-manor-lakes-vic-3024-16039406,-37.8712205,144.5907981
580,3,2,2,https://www.domain.com.au/20-wests-road-maribyrnong-vic-3032-16068146,-37.7723305,144.8818692
695,3,2,2,https://www.domain.com.au/68b-walter-street-seddon-vic-3011-16077762,-37.804392,144.8926999
270,2,1,1,https://www.domain.com.au/1-14-aquila-court-ballarat-north-vic-3350-15988138,-37.5436585,143.8687382
430,2,1,1,https://www.domain.com.au/5-451-gaffney-street-pascoe-vale-vic-3044-16040789,-37.7304127,144.926752
570,4,2,1,https://www.domain.com.au/11-grant-avenue-gisborne-vic-3437-16035741,-37.4933632,144.5955694
430,2,1,1,https://www.domain.com.au/2-9-warrigal-rd-hughesdale-vic-3166-13139015,-37.894618,145.087313
600,4,2,2,https://www.domain.com.au/33-pardoner-road-rye-vic-3941-16034416,-38.3776465,144.7907128
410,1,1,1,https://www.domain.com.au/509a-1-acacia-place-abbotsford-vic-3067-16082671,-37.811635,145.0136396
495,1,1,1,https://www.domain.com.au/s3209-231-harbour-esplanade-docklands-vic-3008-16047103,-37.813577,144.9429949
430,3,2,2,https://www.domain.com.au/1-4-camperdown-avenue-sunshine-north-vic-3020-14353153,-37.7681036,144.8216094
520,3,1,1,https://www.domain.com.au/201-mason-street-newport-vic-3015-16038586,-37.84084070000001,144.8655155
350,2,1,1,https://www.domain.com.au/6-164-napier-st-essendon-vic-3040-16064627,-37.746704,144.919498
450,2,1,1,https://www.domain.com.au/302-21-collins-street-chadstone-vic-3148-14815204,-37.8761751,145.0935585
410,3,1,1,https://www.domain.com.au/2-14-lois-street-ringwood-east-vic-3135-16082946,-37.812881,145.252679
650,2,1,1,https://www.domain.com.au/94-coppin-street-richmond-vic-3121-16062861,-37.8211181,145.0032152
430,2,1,2,https://www.domain.com.au/4-135-corrigan-road-noble-park-vic-3174-16072856,-37.9663406,145.1687163
475,3,2,2,https://www.domain.com.au/5-kawana-mews-cranbourne-vic-3977-16026932,-38.110572,145.254886
280,2,1,2,https://www.domain.com.au/1-1-tinto-close-deer-park-vic-3023-16012401,-37.7621202,144.7596346
330,1,1,1,https://www.domain.com.au/427b-1-colombo-street-mitcham-vic-3132-16070585,-37.8175573,145.1921463
1036,1,1,1,https://www.domain.com.au/1705-1-freshwater-place-southbank-vic-3006-16065015,-37.8219262,144.962153
509,3,2,1,https://www.domain.com.au/3-42-carrington-road-niddrie-vic-3042-16060317,-37.7371636,144.8875417
450,3,2,2,https://www.domain.com.au/17-peregrine-street-cranbourne-north-vic-3977-16082823,-38.073184,145.3174811
390,3,1,2,https://www.domain.com.au/167-gap-road-sunbury-vic-3429-16079845,-37.5785517,144.7071202
430,3,1,4,https://www.domain.com.au/26-matlock-road-boronia-vic-3155-13298792,-37.859402,145.2533937
595,2,1,2,https://www.domain.com.au/2-16-arcadia-avenue-malvern-east-vic-3145-15935146,-37.8906915,145.0855713
420,2,1,1,https://www.domain.com.au/1-23-raymond-road-seaford-vic-3198-16038539,-38.1116486,145.1369152
350,3,1,1,https://www.domain.com.au/3-lee-parade-leongatha-vic-3953-16038130,-38.4815682,145.9553283
370,3,1,1,https://www.domain.com.au/18a-lobb-st-north-bendigo-vic-3550-16046395,-36.7422526,144.2805292
580,2,2,1,https://www.domain.com.au/605-15-caravel-lane-docklands-vic-3008-16076321,-37.8142025,144.9417005
360,2,1,1,https://www.domain.com.au/9-96-thames-street-box-hill-north-vic-3129-16028015,-37.8131577,145.1218046
500,2,2,1,https://www.domain.com.au/710-67-galada-avenue-parkville-vic-3052-16046651,-37.7797711,144.9393747
395,2,1,1,https://www.domain.com.au/4-19-ballater-street-essendon-vic-3040-16058257,-37.7489763,144.9047154
440,2,1,2,https://www.domain.com.au/21-churchill-avenue-newtown-vic-3220-16035880,-38.145814,144.3329454
450,4,2,2,https://www.domain.com.au/3-elmore-avenue-eynesbury-vic-3338-16034884,-37.7819706,144.5486809
670,3,1,4,https://www.domain.com.au/29-heather-grove-cheltenham-vic-3192-15968117,-37.9604384,145.049639
1250,4,3,2,https://www.domain.com.au/6-sophia-avenue-aspendale-vic-3195-15841211,-38.0242147,145.0991843
400,4,2,2,https://www.domain.com.au/5-crissa-street-tarneit-vic-3029-16028279,-37.8406775,144.6561822
310,2,1,2,https://www.domain.com.au/2-25-williams-road-laverton-vic-3028-14995653,-37.8610222,144.7763886
510,2,1,1,https://www.domain.com.au/4-41-grandview-grove-prahran-vic-3181-16011984,-37.8501081,145.0079609
590,2,1,1,https://www.domain.com.au/1401n-889-collins-st-docklands-vic-3008-16040642,-37.8211627,144.9419443
325,2,1,1,https://www.domain.com.au/3-6-griffiths-street-reservoir-vic-3073-16079195,-37.713735,144.996127
1070000,2,1,1,https://www.domain.com.au/56-walsh-street-coburg-vic-3058-15987236,-37.74855489999999,144.9704982
400,4,2,2,https://www.domain.com.au/23-houston-drive-thornhill-park-vic-3335-15910084,-37.7199524,144.6331433
315,1,1,1,https://www.domain.com.au/13-7-cardigan-street-st-kilda-east-vic-3183-16028924,-37.8656744,145.0010954
350,1,1,1,https://www.domain.com.au/4-24-rose-street-box-hill-vic-3128-9978704,-37.8229204,145.1290263
1695,5,2,2,https://www.domain.com.au/19-moule-avenue-brighton-vic-3186-15981059,-37.9052991,144.9865485
290,3,1,4,https://www.domain.com.au/6-george-street-st-arnaud-vic-3478-16067981,-36.6229971,143.2634472
